온실번호,측정라인,표본번호,조사일자,착과수,예측,오차
1,5,1,2025-01-13,4.0,4.859908274621704,0.8599082746217039
1,5,1,2025-01-20,4.0,4.2879382560936925,0.2879382560936925
1,5,1,2025-01-31,6.0,5.235089939763037,0.7649100602369634
1,5,1,2025-02-03,5.0,5.251704237310856,0.25170423731085556
1,5,2,2024-11-01,0.0,0.4427880626844478,0.4427880626844478
1,5,2,2024-11-04,0.0,0.2733160163734387,0.2733160163734387
1,5,2,2024-11-11,4.0,0.8413595345294806,3.158640465470519
1,5,2,2024-11-18,5.0,4.779993135821246,0.22000686417875404
1,5,2,2024-11-25,8.0,7.2754625904762245,0.7245374095237755
1,5,2,2024-12-02,8.0,8.29337606614345,0.29337606614345013
1,5,2,2024-12-09,8.0,7.394346312438068,0.605653687561932
1,5,2,2024-12-16,6.0,5.678439785754952,0.3215602142450482
1,5,2,2024-12-23,5.0,4.910266065866941,0.08973393413305875
1,5,2,2024-12-30,4.0,4.018438385696233,0.018438385696232906
1,5,2,2025-01-06,2.0,3.002978937852617,1.002978937852617
1,5,2,2025-01-13,4.0,4.505892930958854,0.5058929309588542
1,5,2,2025-01-20,4.0,4.061670959037404,0.061670959037403605
1,5,2,2025-01-31,5.0,5.270912247643083,0.27091224764308297
1,5,2,2025-02-03,4.0,5.079934623059912,1.0799346230599118
2,1,1,2024-11-01,0.0,0.06185635252689483,0.06185635252689483
2,1,1,2024-11-04,0.0,0.0,0.0
2,1,1,2024-11-11,0.0,0.23734491054782125,0.23734491054782125
2,1,1,2024-11-18,1.0,0.9993711472667502,0.0006288527332497518
2,1,1,2024-11-25,5.0,4.760158099423719,0.2398419005762813
2,1,1,2024-12-02,8.0,7.828482984284347,0.17151701571565336
2,1,1,2024-12-09,8.0,6.8421354905793965,1.1578645094206035
2,1,1,2024-12-16,6.0,5.991253439547876,0.008746560452124186
2,1,1,2024-12-23,5.0,4.611598495296794,0.38840150470320634
2,1,1,2024-12-30,4.0,3.8149010419121527,0.18509895808784727
2,1,1,2025-01-06,2.0,2.8261652596465754,0.8261652596465754
2,1,1,2025-01-13,4.0,4.0542089222539115,0.054208922253911496
2,1,1,2025-01-20,4.0,4.718127741920642,0.7181277419206422
2,1,1,2025-01-31,7.0,5.233150821664847,1.7668491783351534
2,1,1,2025-02-03,6.0,6.412609894666839,0.41260989466683906
2,1,2,2024-11-01,0.0,0.06185635252689483,0.06185635252689483
2,1,2,2024-11-04,0.0,0.0,0.0
2,1,2,2024-11-11,0.0,0.323652167617609,0.323652167617609
2,1,2,2024-11-18,0.0,0.7585708338111814,0.7585708338111814
2,1,2,2024-11-25,4.0,3.1976474745117973,0.8023525254882027
2,1,2,2024-12-02,7.0,6.966954111437439,0.033045888562560854
2,1,2,2024-12-09,7.0,6.254526889106116,0.7454731108938839
2,1,2,2024-12-16,6.0,5.587793267121113,0.41220673287888676
2,1,2,2024-12-23,4.0,4.772118483228675,0.7721184832286747
2,1,2,2024-12-30,3.0,3.5411660408885917,0.5411660408885917
2,1,2,2025-01-06,2.0,2.8922558031239483,0.8922558031239483
2,1,2,2025-01-13,3.0,4.504662743216193,1.5046627432161932
2,1,2,2025-01-20,3.0,4.9632317048301875,1.9632317048301875
2,1,2,2025-01-31,6.0,5.838180267901798,0.161819732098202
