온실번호,조사일자,착과수,예측,오차,하한,상한,실제버킷,예측버킷,버킷일치,신뢰도,구간적중
2,2025-01-20,4.5,4.251391076514832,0.24860892348516828,3.5050788569636744,5.993828603959734,3,3,True,0.8011366375290648,True
2,2025-01-31,6.4,5.622923043830909,0.7770769561690916,3.6523971568957214,6.139018352394684,4,3,False,0.8043042517373388,False
2,2025-02-03,5.5,5.928482449472432,0.4284824494724324,3.8592677218417144,7.295244794449788,3,3,True,0.5820760609679805,True
3,2024-11-01,0.2,0.49417670194162194,0.29417670194162193,0.0,4.676526151028001,0,0,True,0.10691696867558183,True
3,2024-11-04,0.1,0.5907428566731187,0.4907428566731187,0.0,3.0896652800318125,0,1,False,0.4854894831794062,True
3,2024-11-11,0.3,1.2905631886261075,0.9905631886261075,0.0,4.1780295323927215,0,1,False,0.359020918442614,True
3,2024-11-18,0.8,1.6189731447900995,0.8189731447900994,0.0,4.005916172169766,1,1,True,0.3744461779856815,True
3,2024-11-25,3.9,2.1843833583852392,1.7156166416147607,0.0,5.1920078084828525,2,2,True,0.385207432995833,True
3,2024-12-02,6.1,6.754372233316358,0.6543722333163586,1.0544759329027251,7.370008840268811,4,4,True,0.21692687859656454,True
3,2024-12-09,7.1,7.458853909520446,0.3588539095204464,2.651689006509594,8.846287686243993,4,4,True,0.3228619162275985,True
3,2024-12-16,5.7,5.928887921604566,0.2288879216045654,2.9987327546730276,8.06228806502904,3,3,True,0.39497939242602687,True
3,2024-12-23,4.7,5.147837801838736,0.44783780183873567,2.3272445714207253,6.843755855570681,3,3,True,0.4428196619410011,True
3,2024-12-30,3.5,4.0364847388851715,0.5364847388851715,2.2273074384560667,6.469348663345536,2,3,False,0.4714711371179831,True
3,2025-01-06,2.0,2.442251909219538,0.44225190921953805,1.2698416043430554,5.632559804284379,2,2,True,0.4584297926982538,True
3,2025-01-13,4.7,4.237956541252721,0.4620434587472788,1.9524346831829524,5.65045381119977,3,3,True,0.4463075376478324,True
3,2025-01-20,4.8,4.059428377116564,0.7405716228834356,2.761430434623878,5.924763589346718,3,3,True,0.6084606000076394,True
3,2025-01-31,6.5,4.420310462439022,2.079689537560978,2.7583157499854876,5.736783721976841,4,3,False,0.5831131099306925,False
3,2025-02-03,5.9,5.0286604448750065,0.8713395551249938,3.5507647835987592,7.630461532670585,3,3,True,0.49023251555523606,True
4,2024-11-01,0.0,0.4665685144749515,0.4665685144749515,0.0,2.8966816913810014,0,0,True,0.17261130261144556,True
4,2024-11-04,0.0,0.3166878412650466,0.3166878412650466,0.0,2.2220241754254912,0,0,True,0.22502005402540498,True
4,2024-11-11,0.1,0.9183340851471951,0.8183340851471951,0.4124307648603006,4.763927166295382,0,1,False,0.3447090061950447,False
4,2024-11-18,0.7,0.822938280594782,0.12293828059478207,1.2759570561507674,2.75657694580597,1,1,True,0.4890133848045518,False
4,2024-11-25,3.6,3.0799014686278423,0.5200985313721578,1.7830948986708073,5.084304367370879,2,2,True,0.6058385627942436,True
4,2024-12-02,7.4,6.650775131371746,0.7492248686282545,3.7968924226816556,6.964407432132251,4,4,True,0.3044681490868539,False
4,2024-12-09,8.2,7.773474901078351,0.42652509892164847,5.510430321267073,8.34531634650662,5,4,False,0.7054957349937908,True
4,2024-12-16,6.4,6.020588864479802,0.3794111355201988,4.503133143192504,7.072323187993843,4,4,True,0.4173779165008245,True
4,2024-12-23,5.4,5.164546502029288,0.23545349797071236,4.098888342785698,6.3974362786872385,3,3,True,0.8270924558589398,True
4,2024-12-30,4.0,4.436568537787687,0.4365685377876867,4.085484938078491,6.0051595622759395,3,3,True,0.9973122725013378,False
4,2025-01-06,2.9,3.200659586969765,0.30065958696976525,3.2723624602503443,5.60953670689706,2,2,True,0.3113321742243399,False
4,2025-01-13,4.4,4.414138506648648,0.014138506648647464,3.300612335291205,5.7641885356533695,3,3,True,0.7161087752812437,True
4,2025-01-20,3.6,3.8262072267154137,0.2262072267154136,4.131731875292781,5.361151846355258,2,2,True,0.0,False
4,2025-01-31,4.0,5.160858646811261,1.1608586468112607,2.8677250993394217,6.705295961532686,3,3,True,0.5211630147871593,True
4,2025-02-03,4.2,5.266899247815521,1.0668992478155213,4.40042858095347,6.786237205476458,3,3,True,0.670452526076497,False
