온실번호,측정라인,표본번호,조사일자,착과수,예측,오차
1,5,1,2025-01-31,6.0,5.89854369529028,0.10145630470972034
1,5,1,2025-02-03,5.0,5.993369065504879,0.9933690655048792
1,5,2,2024-11-01,0.0,0.19409250395874195,0.19409250395874195
1,5,2,2024-11-04,0.0,0.2529996951187159,0.2529996951187159
1,5,2,2024-11-11,4.0,0.5538192400457569,3.446180759954243
1,5,2,2024-11-18,5.0,3.694493990382689,1.3055060096173108
1,5,2,2024-11-25,8.0,6.464066214041526,1.5359337859584743
1,5,2,2024-12-02,8.0,7.492153238660061,0.5078467613399393
1,5,2,2024-12-09,8.0,7.546892710201008,0.45310728979899206
1,5,2,2024-12-16,6.0,6.213995574588473,0.2139955745884734
1,5,2,2024-12-23,5.0,4.779534517889227,0.22046548211077344
1,5,2,2024-12-30,4.0,3.839248945559019,0.16075105444098092
1,5,2,2025-01-06,2.0,3.2298158332971734,1.2298158332971734
1,5,2,2025-01-13,4.0,4.311466542004776,0.3114665420047764
1,5,2,2025-01-20,4.0,4.04124254620044,0.04124254620043999
1,5,2,2025-01-31,5.0,5.982863256264226,0.9828632562642259
1,5,2,2025-02-03,4.0,6.243370459898521,2.2433704598985207
2,1,1,2024-11-01,0.0,0.07678620032160126,0.07678620032160126
2,1,1,2024-11-04,0.0,0.008415241544590106,0.008415241544590106
2,1,1,2024-11-11,0.0,0.1778580779154995,0.1778580779154995
2,1,1,2024-11-18,1.0,0.24946836404431488,0.7505316359556851
2,1,1,2024-11-25,5.0,4.28208271718886,0.7179172828111398
2,1,1,2024-12-02,8.0,7.544247212650319,0.45575278734968094
2,1,1,2024-12-09,8.0,7.644438813118505,0.35556118688149496
2,1,1,2024-12-16,6.0,6.724337163738969,0.7243371637389693
2,1,1,2024-12-23,5.0,4.67918062562667,0.32081937437332986
2,1,1,2024-12-30,4.0,3.6387105803467206,0.36128941965327943
2,1,1,2025-01-06,2.0,3.3949528991758404,1.3949528991758404
2,1,1,2025-01-13,4.0,4.191273364673281,0.1912733646732807
2,1,1,2025-01-20,4.0,4.114055125274686,0.1140551252746862
2,1,1,2025-01-31,7.0,4.7206142298845135,2.2793857701154865
2,1,1,2025-02-03,6.0,5.759147388793516,0.24085261120648394
2,1,2,2024-11-01,0.0,0.07678620032160126,0.07678620032160126
2,1,2,2024-11-04,0.0,0.0,0.0
2,1,2,2024-11-11,0.0,0.0,0.0
2,1,2,2024-11-18,0.0,0.36714440347184907,0.36714440347184907
2,1,2,2024-11-25,4.0,2.6458006751450247,1.3541993248549753
2,1,2,2024-12-02,7.0,6.543199242465902,0.456800757534098
2,1,2,2024-12-09,7.0,7.045022126586989,0.04502212658698923
2,1,2,2024-12-16,6.0,5.847147714301408,0.1528522856985921
2,1,2,2024-12-23,4.0,4.3957371113680805,0.39573711136808054
2,1,2,2024-12-30,3.0,3.0589126446376316,0.05891264463763157
2,1,2,2025-01-06,2.0,2.978804864155747,0.9788048641557472
2,1,2,2025-01-13,3.0,4.637949672303249,1.6379496723032494
2,1,2,2025-01-20,3.0,4.243002193745064,1.2430021937450642
2,1,2,2025-01-31,6.0,5.250498638472313,0.7495013615276873
2,1,2,2025-02-03,5.0,5.201530963440839,0.2015309634408391
2,2,1,2024-11-01,1.0,0.09735366157705866,0.9026463384229413
2,2,1,2024-11-04,1.0,2.399721981007381,1.399721981007381
2,2,1,2024-11-11,4.0,3.350697521256742,0.649302478743258
2,2,1,2024-11-18,5.0,4.280275221753897,0.7197247782461034
2,2,1,2024-11-25,9.0,6.177983954065115,2.822016045934885
2,2,1,2024-12-02,10.0,7.37871597879092,2.62128402120908
2,2,1,2024-12-09,10.0,7.4801929291773686,2.5198070708226314
2,2,1,2024-12-16,7.0,6.463712847811479,0.5362871521885211
2,2,1,2024-12-23,4.0,5.2904668517688185,1.2904668517688185
2,2,1,2024-12-30,4.0,2.8243122671548218,1.1756877328451782
2,2,1,2025-01-06,4.0,3.103328991562098,0.8966710084379019
2,2,1,2025-01-13,4.0,4.271114709053187,0.2711147090531867
2,2,1,2025-01-20,4.0,3.857672454224323,0.14232754577567697
2,2,1,2025-01-31,7.0,4.916365103673953,2.083634896326047
2,2,1,2025-02-03,6.0,5.894264603584045,0.10573539641595531
2,2,2,2024-11-01,3.0,0.09735366157705866,2.9026463384229415
2,2,2,2024-11-04,3.0,2.3841563299511,0.6158436700488998
2,2,2,2024-11-11,6.0,3.311379702880633,2.688620297119367
2,2,2,2024-11-18,7.0,4.1104868013874105,2.8895131986125895
2,2,2,2024-11-25,9.0,6.85634666342754,2.14365333657246
2,2,2,2024-12-02,8.0,7.305344478119377,0.6946555218806232
2,2,2,2024-12-09,8.0,7.074256989497768,0.9257430105022317
2,2,2,2024-12-16,6.0,6.475534993495858,0.4755349934958577
2,2,2,2024-12-23,5.0,4.872482249593201,0.12751775040679902
2,2,2,2024-12-30,4.0,3.560493560494059,0.43950643950594115
2,2,2,2025-01-06,4.0,3.159080595527049,0.8409194044729511
2,2,2,2025-01-13,4.0,4.0627902790251795,0.06279027902517953
2,2,2,2025-01-20,4.0,3.755174344636336,0.24482565536366385
2,2,2,2025-01-31,6.0,5.453175493852668,0.546824506147332
2,2,2,2025-02-03,6.0,5.398706373532063,0.6012936264679372
2,3,1,2024-11-01,0.0,0.16889958418234116,0.16889958418234116
2,3,1,2024-11-04,0.0,0.22380385634007494,0.22380385634007494
2,3,1,2024-11-11,0.0,1.0051234218869336,1.0051234218869336
2,3,1,2024-11-18,1.0,1.386223146195197,0.38622314619519704
2,3,1,2024-11-25,5.0,5.06694336880472,0.0669433688047203
2,3,1,2024-12-02,9.0,7.240354094110321,1.7596459058896787
2,3,1,2024-12-09,9.0,7.513127783189026,1.4868722168109736
2,3,1,2024-12-16,6.0,6.879724079387745,0.8797240793877448
2,3,1,2024-12-23,5.0,4.623350493979481,0.3766495060205193
2,3,1,2024-12-30,3.0,3.8172875740301695,0.8172875740301695
2,3,1,2025-01-06,2.0,3.327955982552237,1.3279559825522371
2,3,1,2025-01-13,4.0,4.7128685392316205,0.7128685392316205
2,3,1,2025-01-20,5.0,4.084142537954499,0.9158574620455013
2,3,1,2025-01-31,5.0,4.713940009698407,0.28605999030159257
2,3,1,2025-02-03,4.0,4.314788756719652,0.31478875671965234
2,3,2,2024-11-01,1.0,0.16889958418234116,0.8311004158176588
2,3,2,2024-11-04,1.0,2.2884742270922596,1.2884742270922596
2,3,2,2024-11-11,4.0,3.1714328534840446,0.8285671465159554
2,3,2,2024-11-18,5.0,4.081102918811818,0.9188970811881818
2,3,2,2024-11-25,8.0,6.583011756498495,1.416988243501505
2,3,2,2024-12-02,7.0,7.273173965648985,0.27317396564898466
2,3,2,2024-12-09,7.0,7.015103937802619,0.015103937802619427
2,3,2,2024-12-16,6.0,6.172223961107764,0.17222396110776383
2,3,2,2024-12-23,5.0,4.661482729959099,0.33851727004090115
2,3,2,2024-12-30,4.0,3.797780832099271,0.2022191679007288
